year,all_count,all_median_ml_per_day,all_p10_ml_per_day,all_p90_ml_per_day,ab_count,ab_median_ml_per_day,quality_a,quality_b,quality_c,quality_e,quality_g
1965,365,68.775,29.359,344.776,365,68.775,0,365,0,0,0
1966,365,188.441,37.619,815.456,361,185.417,0,361,4,0,0
1967,365,60.395,34.906,208.158,365,60.395,0,365,0,0,0
1968,366,148.481,16.848,479.009,366,148.481,0,366,0,0,0
1969,365,298.344,49.957,757.36,361,289.185,0,361,4,0,0
1970,365,218.163,48.938,853.749,361,210.387,0,361,4,0,0
1971,365,237.517,136.134,700.56,355,232.333,316,39,10,0,0
1972,366,157.466,71.886,426.132,365,157.25,365,0,1,0,0
1973,365,114.827,24.555,563.786,362,114.482,362,0,3,0,0
1974,365,693.889,60.533,2095.268,286,605.89,286,0,51,28,0
1975,365,348.37,92.605,2090.585,176,764.739,153,23,28,161,0
1976,366,158.503,101.781,487.909,89,386.214,89,0,4,273,0
1977,365,118.715,43.304,338.97,365,118.715,365,0,0,0,0
1978,365,494.475,33.714,2201.559,357,482.724,357,0,8,0,0
1979,365,97.979,48.765,285.626,365,97.979,365,0,0,0,0
1980,366,70.288,25.229,270.998,366,70.288,366,0,0,0,0
1981,365,115.173,36.582,805.364,365,115.173,365,0,0,0,0
1982,365,36.461,25.661,64.507,365,36.461,365,0,0,0,0
1983,365,225.248,14.36,727.793,364,225.162,364,0,1,0,0
1984,366,227.149,92.493,1448.908,364,225.162,364,0,2,0,0
1985,365,93.745,31.606,568.175,365,93.745,365,0,0,0,0
1986,365,121.653,36.807,568.417,365,121.653,365,0,0,0,0
1987,365,99.534,47.417,297.255,365,99.534,365,0,0,0,0
1988,366,348.068,41.429,1097.643,359,331.695,359,0,7,0,0
1989,365,426.045,95.404,1066.59,363,425.959,363,0,2,0,0
1990,365,275.361,52.152,1275.647,362,263.438,362,0,3,0,0
1991,365,117.938,43.477,1621.287,361,112.927,361,0,4,0,0
1992,366,319.339,93.357,1576.393,366,319.339,366,0,0,0,0
1993,365,203.302,86.453,571.303,365,203.302,365,0,0,0,0
1994,365,82.773,46.951,158.235,365,82.773,365,0,0,0,0
1995,365,329.103,46.605,767.313,365,329.103,365,0,0,0,0
1996,366,193.15,69.596,745.039,366,193.15,262,104,0,0,0
1997,365,92.017,38.656,390.828,365,92.017,0,365,0,0,0
1998,365,105.237,28.841,680.549,365,105.237,0,365,0,0,0
1999,365,91.499,39.347,301.886,365,91.499,0,365,0,0,0
2000,366,130.12,43.719,507.435,366,130.12,0,366,0,0,0
2001,365,70.417,22.309,364.908,365,70.417,0,365,0,0,0
2002,365,99.794,33.921,298.949,365,99.794,0,365,0,0,0
2003,365,60.74,30.31,384.745,365,60.74,0,365,0,0,0
2004,366,62.684,36.073,305.947,364,62.598,178,186,2,0,0
2005,365,106.878,23.052,536.121,365,106.878,354,11,0,0,0
2006,365,47.953,19.164,111.561,365,47.953,358,7,0,0,0
2007,365,130.38,10.766,279.629,365,130.38,225,140,0,0,0
2008,366,85.278,41.861,266.375,366,85.278,330,36,0,0,0
2009,365,55.47,28.167,305.878,365,55.47,248,117,0,0,0
2010,365,176.345,30.068,822.921,365,176.345,187,178,0,0,0
2011,365,243.479,85.468,759.416,365,243.479,0,365,0,0,0
2012,366,377.012,175.049,912.01,365,376.364,222,143,0,1,0
2013,365,129.602,58.096,527.843,361,129.602,255,106,4,0,0
2014,365,250.305,55.867,763.978,365,250.305,0,365,0,0,0
2015,365,226.717,63.851,722.471,365,226.717,51,314,0,0,0
2016,366,190.256,38.017,1729.021,158,51.538,127,31,0,208,0
2017,365,113.877,46.432,509.095,0,,0,0,0,365,0
2018,365,59.444,42.993,156.283,0,,0,0,0,365,0
2019,365,60.913,33.213,115.83,0,,0,0,0,365,0
2020,366,142.733,37.411,713.318,0,,0,0,0,366,0
2021,365,487.728,81.734,1291.939,0,,0,0,0,365,0
2022,365,900.029,406.356,2286.351,0,,0,0,0,365,0
2023,365,247.882,118.593,548.225,0,,0,0,0,365,0
