month,month_name,all_count,all_p10_ml_per_day,all_median_ml_per_day,all_p90_ml_per_day,ab_count,ab_median_ml_per_day
1,Jan,1860,29.722,80.008,315.927,1563,73.528
2,Feb,1695,27.216,62.036,307.952,1410,57.803
3,Mar,1860,25.575,55.34,263.956,1583,51.754
4,Apr,1800,29.878,60.179,343.998,1531,55.988
5,May,1860,35.934,81.476,315.65,1586,75.601
6,Jun,1800,41.965,115.864,751.269,1492,105.928
7,Jul,1860,61.077,204.469,1031.598,1548,199.63
8,Aug,1860,89.054,354.632,1179.681,1565,337.052
9,Sep,1800,164.361,461.772,1337.148,1520,457.97
10,Oct,1860,111.924,364.222,1279.673,1586,360.078
11,Nov,1800,67.644,251.685,788.738,1539,250.737
12,Dec,1860,40.946,139.236,668.296,1549,129.429
